Pathway Name,Source Name,All_genes_in_pathway
IL4,NETPATH,ADRBK2;AK1;AKT1;ATF2;BAD;BCL2L1;BTK;CBL;CD40;CEBPA;CEBPB;CHUK;CREBBP;CXCR4;DOK2;ELK1;EP300;ETS1;FES;FYN;GAB2;GRB2;HIST2H3C;HIST3H3;IKBKB;IL13;IL13RA1;IL2RG;IL4;IL4R;INPP5D;IRS1;IRS2;JAK1;JAK2;JAK3;LCK;MAPK1;MAPK11;MAPK14;MAPK3;MAPK8;NCOA3;NFKB1;NFKBIA;PAWR;PIK3CA;PIK3CD;PIK3R1;PIK3R2;PLCG1;PLCG2;PRKCD;PRKCZ;PTK2;PTPN11;PTPN6;RASA1;RELA;RPS6KB1;SHC1;SND1;SOCS1;SOCS3;SOCS5;SOS1;SPI1;STAM;STAT1;STAT3;STAT5A;STAT5B;STAT6;SYK;TYK2
Interferon gamma signaling,REACTOME,B2M;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CD44;CIITA;FCGR1A;FCGR1B;GBP1;GBP2;GBP3;GBP4;GBP5;GBP6;GBP7;HLA-A;HLA-B;HLA-C;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB3;HLA-DRB4;HLA-DRB5;HLA-E;HLA-F;HLA-G;HLA-H;ICAM1;IFI30;IFNG;IFNGR1;IFNGR2;IRF1;IRF2;IRF3;IRF4;IRF5;IRF6;IRF7;IRF8;IRF9;JAK1;JAK2;MID1;MT2A;NCAM1;OAS1;OAS2;OAS3;OASL;PIAS1;PML;PRKCD;PTAFR;PTPN1;PTPN11;PTPN2;PTPN6;SOCS1;SOCS3;SP100;STAT1;SUMO1;TRIM10;TRIM14;TRIM17;TRIM2;TRIM21;TRIM22;TRIM25;TRIM26;TRIM29;TRIM3;TRIM31;TRIM34;TRIM35;TRIM38;TRIM45;TRIM46;TRIM48;TRIM5;TRIM6;TRIM62;TRIM68;TRIM8;VCAM1
EGFR1,NETPATH,ABI1;ABL1;ABL2;ACP1;ACTA2;ACTB;ACTN1;ACTN4;ACTR2;ACTR3;ADAM17;ADAM9;ADRBK1;AFAP1L2;AHCYL1;AHNAK;AKT1;ALB;ALDOA;ANKS1A;ANTXR1;ANXA1;ANXA2;ANXA4;AP2A1;AP2B1;AP2S1APLP2;APP;APPL1;APPL2;ARAF;ARAP1;ARF4;ARHGAP32;ARHGAP5;ARHGEF4;ARHGEF5;ARHGEF7;ASAP1;ASAP3;ATF1;ATP1A1;ATP5C1;ATXN2;AXL;BAD;BAIAP2;BAIAP2L1;BCAR1;BCAR3;BCL2;BRAF;CALCOCO2;CALD1;CALM1;CALM2;CALM3;CAMK2A;CASKIN2;CASP9;CAV1;CAV2;CBL;CBLB;CBLC;CC2D1A;CCDC50;CD59;CDC42;CDH1;CDH2;CDH3;CDK1;CDK2;CDK5;CDKN3;CDV3;CEACAM1;CEBPA;CEBPB;CFL1;CLTA;CLTC;COL17A1;CREB1;CRIM1;CRK;CRKL;CSK;CSTB;CTBP1;CTNNAL1;CTNND1;CTTN;CYLD;DAB2;DAPP1;DCBLD2;DDX3X;DDX6;DLG3;DNM1;DOCK1;DOCK4;DOK1;DOK2;DSG2;DSP;DUSP1;DYNLL1;DYRK1A;DYRK1B;DYRK3;DYRK4;EEF1A1;EEF1A2;EFNB2;EGF;EGFR;EIF4EBP1;EIF4G1;ELF3;ELK1;ELK4;ELMO2;ENO1;ENSA;EPHA1;EPHA2;EPHA4;EPHB1;EPHB2;EPHB3;EPHB4;EPN1;EPN2;EPN3;EPPK1;EPS15;EPS15L1;EPS8;ERBB2;ERBB3;ERRFI1;ESYT1;FLNB;FLOT1;FLOT2;FOS;FOXO1;FOXO4;FRK;FRS2;FRS3;FYN;GAB1;GAB2;GAREM1;GIT1;GIT2;GJA1;GPRC5A;GRB10;GRB14;GRB2;GRB7;GSK3A;GSK3B;GSN;HAT1;HDAC1;HGS;HIP1;HIPK2;HIPK3;HIST3H3;HNRNPA1;HNRNPDL;HNRNPR;HRAS;HSPA4;HSPE1;HTT;HUWE1;IL17RD;INPPL1;INSR;IQGAP1;IRS2;ITCH;ITGA3;ITGB1;ITGB4;ITLN2;ITSN2;JAK1;JAK2;JUN;JUND;JUP;KHDRBS1;KIAA1217;KIRREL;KIT;KLF11;KRAS;KRT17;KRT18;KRT5;KRT6A;KRT7;KRT8;KSR1;LAPTM4A;LCK;LDHA;LDLR;LIMD1;LPP;LSR;LYN;MAGI1;MAP2K1;MAP2K2;MAP2K3;MAP2K5;MAP2K7;MAP3K1;MAP3K14;MAP3K2;MAP3K3;MAP3K4;MAP4K1;MAP4K5;MAPK1;MAPK14;MAPK3;MAPK7;MAPK8;MAPK9;MARVELD2;MCF2;MET;MINK1;MPRIP;MPZL1;MTA2;MTOR;MVP;MYC;MYH9;MYL12B;MYO6;NCK1;NCK2;NCOA3;NEDD4;NEDD9;NFKB1;NOS3;OTUD6B;PAK1;PARD3;PDCD6IP;PDGFRB;PDLIM1;PDLIM4;PDPK1;PDZD11;PEAK1;PEBP1;PFN1;PGAM1;PHLDB2;PHLPP1;PHPT1;PIAS3;PIK3C2B;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PIK3R3;PITPNA;PKN2;PKP2;PKP3;PKP4;PLCE1;PLCG1;PLCG2;PLD1;PLD2;PLEC;PLEKHA5;PLEKHA6;PLEKHN1;PLSCR1;PPP1R12A;PPP1R14B;PPP2R3A;PRKAA1;PRKAA2;PRKAR1A;PRKCA;PRKCB;PRKCD;PRKCG;PRKCI;PRKCZ;PRKD1;PRKX;PRPF4B;PTEN;PTK2;PTK2B;PTK6;PTPN1;PTPN11;PTPN12;PTPN18;PTPN23;PTPN5;PTPN6;PTPRA;PTPRE;PTPRF;PTPRK;PTPRR;PTRF;PTTG1IP;PXN;PYGB;RAB5A;RAC1;RACGAP1;RAF1;RALA;RALB;RALBP1;RALGDS;RAP1A;RASA1;RBBP7;RBCK1;RBM3;RELA;REPS1;REPS2;RFXANK;RGS16;RHOA;RICTOR;RIN1;RIPK1;RPL30;RPLP0;RPS10;RPS2;RPS27L;RPS6KA1;RPS6KA2;RPS6KA3;RPS6KA5;RPS6KB1;S100A10;S100A11;S100A14;SCAMP3;SCRIB;SDC1;SDC3;SDC4;SDCBP;SDPR;SERPINB3;SFPQ;SFPQ;SGK223;SH2B1;SH2D2A;SH2D3C;SH3BGRL;SH3GL2;SH3GL3;SH3KBP1;SHB;SHC1;SIAH1;SIAH2;SIRPA;SLC12A7;SLC25A6;SLC38A2;SLC5A5;SLITRK6;SMAD2;SMAD3;SMU1;SNCA;SNRPD2;SNX33;SNX5;SOCS1;SOCS3;SOS1;SOS2;SP1;SPG20;SPRY1;SPRY2;SPRY3;SPRY4;SRC;SRI;STAM;STAM2;STAMBP;STAT1;STAT2;STAT3;STAT5A;STAT5B;STIP1;STK11;STX4;STXBP1;TAGLN2;TFG;TFRC;TGIF1;TJP2;TKT;TLN1;TNIP1;TNS1;TNS3;TNS4;TOLLIP;TOM1;TOM1L1;TOM1L2;TP53;TRIM29;TRIP6;TRPM6;TYK2;UBASH3B;UBB;USP31;USP6NL;VASP;VAV1;VAV2;VAV3;VCL;VIM;WASL;WBP2;WNK1;YWHAZ;ZDHHC5;ZFYVE16
Signaling by ERBB2,REACTOME,AKT1;AKT2;AKT3;BTC;CDC37;CUL5;DIAPH1;EGF;EGFR;ERBB2;ERBB3;ERBB4;ERBIN;EREG;FYN;GAB1;GRB2;GRB7;HBEGF;HRAS;HSP90AA1;KRAS;MATK;MEMO1;NRAS;NRG1;NRG2;NRG3;NRG4;PIK3CA;PIK3R1;PLCG1;PRKCA;PRKCD;PRKCE;PTK6;PTPN12;PTPN18;RHOA;RNF41;RPS27A;SHC1;SOS1;SRC;STUB1;UBA52;UBB;UBC;USP8;YES1
IL12-mediated signaling events,PID NCI,EOMES;IL1R1;SPHK2;IL18;TYK2;IL2;MAPK14;IL1B;IL4;CD4;IFNG;HLA-DRA;CD247;RAB7A;IL18R1;ATF2;RELA;CD3G;IL2RG;CD3E;RELB;CD3D;PPP3CA;PPP3CB;SOCS1;TBX21;STAT6;RIPK2;B2M;IL12RB2;IL12RB1;CCR5;MAP2K3;STAT1;GADD45B;GZMB;STAT3;STAT4;GZMA;FOS;GADD45G;HLA-A;NFKB1;MTOR;NFKB2;LCK;IL2RA;CD8B;CD8A;IL2RB;CCL4L1;FASLG;PPP3R1;IL18RAP;HLX;CCL3;IL12B;IL12A;NOS2;MAP2K6;STAT5A;JAK2
Toll Like Receptor TLR6:TLR2 Cascade,REACTOME,AGER;APP;ATF1;ATF2;BTK;BTRC;CD14;CD36;CHUK;CREB1;CUL1;DUSP3;DUSP4;DUSP6;DUSP7;ECSIT;ELK1;FBXW11;FOS;HMGB1;IKBKB;IKBKG;IRAK1;IRAK2;IRAK3;IRAK4;JUN;LY96;MAP2K1;MAP2K3;MAP2K4;MAP2K6;MAP2K7;MAP3K1;MAP3K7;MAP3K8;MAPK1;MAPK10;MAPK11;MAPK14;MAPK3;MAPK7;MAPK8;MAPK9;MAPKAPK2;MAPKAPK3;MEF2A;MEF2C;MYD88;NFKB1;NFKB2;NFKBIA;NFKBIB;NKIRAS1;NKIRAS2;NOD1;NOD2;PELI1;PELI2;PELI3;PPP2CA;PPP2CB;PPP2R1A;PPP2R1B;PPP2R5D;RELA;RIPK2;RPS27A;RPS6KA1;RPS6KA2;RPS6KA3;RPS6KA5;S100A12;S100B;SAA1;SIGIRR;SKP1;SOCS1;TAB1;TAB2;TAB3;TIRAP;TLR1;TLR2;TLR4;TLR6;TNIP2;TRAF6;UBA52;UBB;UBC;UBE2N;UBE2V1;VRK3;mip;porB
Toll Like Receptor TLR1:TLR2 Cascade,REACTOME,AGER;APP;ATF1;ATF2;BTK;BTRC;CD14;CD36;CHUK;CREB1;CUL1;DUSP3;DUSP4;DUSP6;DUSP7;ECSIT;ELK1;FBXW11;FOS;HMGB1;IKBKB;IKBKG;IRAK1;IRAK2;IRAK3;IRAK4;JUN;LY96;MAP2K1;MAP2K3;MAP2K4;MAP2K6;MAP2K7;MAP3K1;MAP3K7;MAP3K8;MAPK1;MAPK10;MAPK11;MAPK14;MAPK3;MAPK7;MAPK8;MAPK9;MAPKAPK2;MAPKAPK3;MEF2A;MEF2C;MYD88;NFKB1;NFKB2;NFKBIA;NFKBIB;NKIRAS1;NKIRAS2;NOD1;NOD2;PELI1;PELI2;PELI3;PPP2CA;PPP2CB;PPP2R1A;PPP2R1B;PPP2R5D;RELA;RIPK2;RPS27A;RPS6KA1;RPS6KA2;RPS6KA3;RPS6KA5;S100A12;S100B;SAA1;SIGIRR;SKP1;SOCS1;TAB1;TAB2;TAB3;TIRAP;TLR1;TLR2;TLR4;TLR6;TNIP2;TRAF6;UBA52;UBB;UBC;UBE2N;UBE2V1;VRK3;mip;porB
IL4-mediated signaling events,PID NCI,CCL26;IL4R;IL10;OPRM1;HMGA1;MAPK14;COL1A2;IL5;IL4;COL1A1;DOK2;FES;SP1;IRF4;PIK3CA;BCL6;TFF3;PTPN6;FCER2;RETNLB;SHC1;ALOX15;IL2RG;THY1;SOCS3;SOCS1;MYB;AKT1;STAT6;SOCS5;STAT5B;AICDA;EGR2;ARG1;GTF3A;MTOR;PARP14;SELP;PIK3R1;RPS6KB1;LTA;GRB2;CD40LG;CEBPB;SPI1;IRS1;CCL11;IRS2;PIGR;ITGB3;ETS1;CBL;MYBL1;JAK3;JAK1;CCL17;IL13RA1;STAT5A;IL13RA2;JAK2
TGF_beta_Receptor,NETPATH,ABL1;ACVRL1;AKT1;ANAPC1;ANAPC10;ANAPC2;ANAPC4;ANAPC5;ANAPC7;AP2B1;AR;ARRB2;ATF2;ATF3;AXIN1;AXIN2;BCAR1;BRCA1;BTRC;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CAV1;CCNB2;CCND1;CCNE1;CD44;CDC16;CDC23;CDC25A;CDC25C;CDC27;CDK1;CDK2;CDK4;CDK6;CDKN1A;CHUK;CITED1;COPS5;CREBBP;CRK;CSNK1G2;CTCF;CTNNA1;CTNNA2;CTNNB1;CUL1;DAB2;DAXX;DCP1A;DDX5;DVL1;DYNC1I1;DYNLRB1;DYNLRB2;E2F4;E2F5;EID2;EIF3I;EIF4EBP1;ENG;EP300;ESR1;ETS1;EWSR1;FKBP1A;FNTA;FOS;FOSB;FOXG1;FOXH1;FOXO4;FZR1;GIPC1;GRB2;GSK3B;HDAC1;HGS;HNF4A;HOXA9;HSPA8;IKBKB;ING2;IRF2BP1;ITCH;ITGB1;ITGB3;JUN;JUNB;JUND;KAT2B;KLF10;KPNB1;LEF1;MAP2K1;MAP2K2;MAP2K3;MAP2K6;MAP3K7;MAP4K1;MAPK1;MAPK14;MAPK3;MAPK8;MED15;MEF2A;MEF2C;MTOR;MYC;NCOA1;NEDD4L;NFKB1;NFKBIA;NFYA;NFYB;NFYC;NME1;NUP153;NUP214;OLIG1;PARD3;PARD6A;PDK1;PDPK1;PIAS1;PIAS2;PIK3CA;PIK3R1;PIK3R2;PJA1;PML;PPM1A;PPP1CC;PPP1R15A;PPP2CA;PPP2R1A;PPP2R1B;PPP2R2A;PRKAR1B;PRKAR2A;PTK2;PXN;RAF1;RB1;RBL1;RBL2;RBX1;RHOA;RNF111;ROCK1;RPS6KA5;RPS6KB1;RPS6KB2;RUNX1;RUNX2;RUNX3;SAMD3;SDC2;SHC1;SIK1;SKI;SKIL;SKP1;SMAD2;SMAD3;SMAD4;SMAD6;SMAD7;SMURF1;SMURF2;SNIP1;SNW1;SNX1;SNX2;SNX4;SNX6;SOS1;SOX9;SP1;SPARC;SPTBN1;SRC;STAMBPL1;STK11;STK11IP;STRAP;SUMO1;TCF4;TFDP1;TFDP2;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TGFBR3;TGIF1;TP53;TP73;TRAF6;TRAP1;TRIM33;UBE2D1;UBE2D2;UBE2D3;UBE2I;UCHL5;VDR;VPS39;WWP1;WWTR1;XPO1;XPO4;YAP1;ZEB1;ZEB2;ZFYVE16;ZFYVE9
TNFalpha,NETPATH,ACTL6A;AIMP2;AKAP8;AKT1;AKT2;ALPL;APAF1;ARHGDIA;ARHGEF1;ARHGEF2;ATF2;BAG4;BAX;BCL2;BCL2L1;BCL3;BCL7A;BID;BIRC2;BIRC3;BTRC;CASP10;CASP2;CASP3;CASP7;CASP8;CASP9;CAV1;CCNT1;CDC34;CDC37;CDC42;CDK5;CDK9;CFL1;CFLAR;CHUK;COPB2;COPS3;COPS5;CRADD;CREB1;CREBBP;CRYAB;CSNK1A1;CSNK2A1;CUL1;CYBA;CYBB;DAB2IP;DCAF7;DDX21;DDX3X;DIABLO;DOK1;DPF2;EED;EGFREIF2S1;EIF4EBP1;EIF6;EP300;ERBB2;ERBB3;EZR;FADD;FAF1;FANCD2;FBL;FBXW11;FBXW7;FKBP5;FLNA;FOS;FOXO1;FOXO3;FOXO4;G3BP2;GAB1;GLB1;GLG1;GLO1;GLUL;GRB2;GSK3B;GTF2I;HDAC1;HDAC2;HDAC6;HIPK1;HMGB1;HSP90AA1;HSP90AB1;HSPA1A;HSPA4;HSPA5;HSPA8;HSPB1;IKBKAP;IKBKB;IKBKE;IKBKG;ILK;IQGAP2;IRAK1BP1;IRF1;IRS1;IRS2;IRS4;ITCH;ITGB2;JAK1;JUN;JUNB;KCNQ1;KHDRBS1;KPNA2;KPNA;KPNA6;KTN1;LRPPRC;MADD;MAP2K1;MAP2K2;MAP2K3;MAP2K4;MAP2K5;MAP2K6;MAP2K7;MAP3K1;MAP3K11;MAP3K14;MAP3K2;MAP3K3;MAP3K5;MAP3K7;MAP3K8;MAP4K2;MAPK1;MAPK10;MAPK14;MAPK3;MAPK8;MAPK9;MAPKAPK2;MARK2;MCC;MCM5;MCM7;MMP14;MOAP1;MSN;MTIF2;MTOR;MUC1;MYL2;MYL9;MYLK;NCF1;NFKB1;NFKB2;NFKBIA;NFKBIB;NFKBIE;NFKBIZ;NKIRAS1;NKIRAS2;NLRP4;NOS3;NOX1;NOXO1;NR3C1;NSMAF;NUMBL;NUPR1;OTUD7B;PAK1;PAPOLA;PARP1;PDCD2;PDCD6IP;PDK1;PEG3;PFDN2;PIAS1;PIAS3;PIK3R1;PIK3R2;PML;POLR1A;POLR1B;POLR1C;POLR1D;POLR1E;POLR2H;POLR2L;PPM1B;PPP1CA;PPP1R12A;PPP1R13L;PPP2CA;PPP2R1B;PPP4C;PPP6C;PRC1;PRKAB1;PRKCA;PRKCB;PRKCD;PRKCE;PRKCQ;PRKCZ;PSMB5;PSMC1;PSMC2;PSMC3;PSMD1;PSMD12;PSMD13;PSMD2;PSMD3;PSMD6;PSMD7;PTK2;PTPN11;PTPN6;PYGL;RAC1;RAF1;RASA3;RASAL2;RASSF1;RB1;RBCK1;RDX;REL;RELA;RELB;RFFL;RFK;RGS7;RHOA;RIPK1;RIPK3;RNF11;RNF25;RNF31;ROCK1;ROCK2;ROMO1;RPL30;RPL4;RPL6;RPL8;RPS11;RPS13;RPS6KA5;RPS6KB1;RPS6KB2;RUVBL2;RXRA;SEC16A;SENP1;SKP1;SMAD2;SMAD3;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCE1;SMPD3;SND1;SOS1;SOS2;SPAG9;SPHK1;SPHK2;SRC;STAT1;STAT3;STAT5A;STMN1;SUMO1;SYK;TAB1;TAB2;TAB3;TANK;TAX1BP1;TBK1;TBKBP1;TGIF1;TIFA;TNF;TNFAIP3;TNFRSF11A;TNFRSF1A;TNFRSF1B;TNFRSF8;TNIP1;TNIP2;TP53;TRADD;TRAF1;TRAF2;TRAF3;TRAF4;TRAF5;TRAF6;TRAF7;TRAIP;TRAP1;TRAPPC9;TRIB3;TRIM28;TRIM32;TRPC4AP;TSC1;TSC2;TXLNA;TXN;TXNIP;TYK2;UBE2D2;UBE2D3;UBE2I;USP11;USP2;VAV1;VAV2;VAV3;XIAP;YWHAE;YWHAG;YWHAH;YWHAQ;YWHAZ;ZBTB17
IL2,NETPATH,AKT1;ATF2;BAD;BCL2;CBL;CCNE1;CDK2;CHUK;CISH;CREB1;CRK;CRKL;EIF3B;EIF4E;EIF4EBP1;ELK1;ETS1;ETS2;FOXO3;FYN;GAB2;GRB2;HSP90AA1;IL15;IL2;IL2RA;IL2RB;IL2RG;IRS1;IRS2;ITM2B;JAK1;JAK2;JAK3;JUN;KRAS;LCK;LYN;MAP2K1;MAP2K2;MAPK1;MAPK14;MAPK3;MAPK8;MAPK9;MAPKAPK2;MKNK1;MTOR;NFKB1;NMI;NR3C1;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PIK3R3;PLCB1;PRKCZ;PTK2B;PTPN11;PTPN6;RAF1;RELA;RPS6;RPS6KB1;SGK1;SHB;SHC1;SOCS1;SOCS3;SOS1;STAM;STAM2;STAT1;STAT3;STAT4;STAT5A;STAT5B;SYK;TERT;VAV1;VIL1;YBX1
Signaling by FGFR,REACTOME,FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGFBP1;FGFBP2;FGFBP3;FGFR1;FGFR2;FGFR2b;FGFR2c;FGFR3;FGFR4;FGFRL1;FLRT1;FLRT2;FLRT3;FRS2;FRS3;GAB1;GALNT3;GRB2;GTF2F1;GTF2F2;HNRNPA1;HNRNPF;HNRNPH1;HNRNPM;HRAS;KL;KLB;KRAS;MAPK1;MAPK3;MKNK1;NCBP1;NCBP2;NRAS;PIK3CA;PIK3R1;PLCG1;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;PPP2CA;PPP2CB;PPP2R1A;PTBP1;PTPN11;RBFOX2;RPS27A;SHC1;SOS1;SPRED1;SPRED2;SPRY2;SRC;TIA1;TIAL1;UBA52;UBB;UBC
Signaling by PDGF,REACTOME,BCAR1;COL4A1;COL4A2;COL4A3;COL4A4;COL4A5;COL6A1;COL6A2;COL6A3;COL6A5;COL6A6;COL9A1;COL9A2;COL9A3;CRK;CRKL;FURIN;GRB2;GRB7;HRAS;KRAS;NCK1;NCK2;NRAS;PDGFA;PDGFB;PDGFC;PDGFD;PDGFRA;PDGFRB;PIK3CA;PIK3CB;PIK3R1;PIK3R2;PLAT;PLCG1;PLG;PTPN11;PTPN12;RAPGEF1;RASA1;SOS1;SPP1;SRC;STAT1;STAT3;STAT5A;STAT5B;STAT6;THBS1;THBS2;THBS3;THBS4
